temp,fish,velocity_cm_s,displacement_cm,operculum_N10s,pectoral_N10s,caudal_N10s,cost_ratio
16,1,2.1910443085476583,1327.7025,18.852459016393443,9.114754098360656,6.409836065573771,8.604325774173807
16,2,2.5693351498645027,1559.5362,13.016129032258064,7.693548387096774,6.693548387096774,5.065952191151274
16,3,2.279993731730052,1425.5296,12.555555555555555,9.396825396825397,5.825396825396825,5.506837751711028
19,1,1.7191324635763134,1090.6516,9.046153846153846,3.5692307692307694,3.4153846153846152,5.26204585034426
19,2,3.0638714886250216,1956.2344,6.723076923076923,11.184615384615384,8.446153846153846,2.194307740398749
19,3,2.0664560376293344,1313.0321,6.234375,7.75,6.890625,3.0169405428785008
21,1,2.8828588197000693,1832.4732,18.203125,9.5625,7.140625,6.31426168899032
21,2,2.969669952988707,1837.3698,13.112903225806452,10.64516129032258,7.790322580645161,4.415609624433007
21,3,2.8617094801067533,1761.0885,12.790322580645162,10.17741935483871,6.564516129032258,4.469469269874324
23,1,5.539169639242504,3343.3069,9.65079365079365,8.19047619047619,8.0,1.7422816557958716
23,2,5.233966120950447,3073.7571,8.672131147540984,7.655737704918033,8.39344262295082,1.6568947805810776
23,3,5.242407788614019,2956.0923,7.377049180327869,6.754098360655738,7.967213114754099,1.4071872082042294
25,1,3.1381159281924775,1909.2431,15.426229508196721,7.60655737704918,6.409836065573771,4.915761514611116
25,2,3.161316111490486,1916.9826,9.885245901639344,6.622950819672131,6.032786885245901,3.1269400316245766
25,3,2.0905572642049672,1285.0192,10.983870967741936,7.838709677419355,5.112903225806452,5.25403975093649
