epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,814.976,0.00711,0.79365,0.06923,0.85482,0.87154,0.92447,0.64679,0.00669,0.76194,0.0698,0.000397505,0.000397505,0.000397505
43,835.167,0.00697,0.79145,0.06913,0.82238,0.89527,0.92613,0.6559,0.00654,0.75906,0.06917,0.000395005,0.000395005,0.000395005
44,854.914,0.00712,0.80025,0.06956,0.79823,0.90988,0.91858,0.64565,0.00671,0.7791,0.07049,0.000392505,0.000392505,0.000392505
45,875.1,0.00703,0.78657,0.06921,0.83922,0.8724,0.91898,0.63675,0.00691,0.78442,0.07126,0.000390006,0.000390006,0.000390006
46,895.202,0.00706,0.78738,0.06911,0.81776,0.90428,0.92177,0.65998,0.00652,0.75876,0.06933,0.000387506,0.000387506,0.000387506
47,914.949,0.007,0.77909,0.06897,0.83825,0.87647,0.92353,0.6472,0.00667,0.75928,0.06983,0.000385006,0.000385006,0.000385006
48,935.109,0.00706,0.79462,0.06894,0.84077,0.89863,0.92778,0.6533,0.00668,0.75246,0.06981,0.000382506,0.000382506,0.000382506
49,956.057,0.00706,0.78172,0.06935,0.84203,0.86647,0.92604,0.65821,0.00651,0.75833,0.0695,0.000380006,0.000380006,0.000380006
50,976.458,0.00703,0.77501,0.06891,0.83895,0.87764,0.92228,0.66352,0.00643,0.74395,0.0687,0.000377506,0.000377506,0.000377506
51,997.569,0.00702,0.7817,0.06892,0.83302,0.90048,0.92372,0.65341,0.00654,0.75355,0.06917,0.000375006,0.000375006,0.000375006
52,1017.33,0.00696,0.7722,0.06876,0.85085,0.87608,0.92737,0.65362,0.00663,0.75257,0.07005,0.000372506,0.000372506,0.000372506
53,1037.44,0.00702,0.77496,0.06902,0.83544,0.87856,0.92352,0.65109,0.00663,0.75506,0.06908,0.000370007,0.000370007,0.000370007
54,1057.56,0.00696,0.77056,0.06872,0.8479,0.86416,0.91924,0.65973,0.00649,0.7507,0.06899,0.000367507,0.000367507,0.000367507
55,1078.32,0.00698,0.76567,0.06869,0.84518,0.87121,0.92335,0.65314,0.00659,0.75393,0.06913,0.000365007,0.000365007,0.000365007
56,1098.52,0.00694,0.76373,0.06851,0.83446,0.87791,0.92646,0.6642,0.00642,0.73779,0.06822,0.000362507,0.000362507,0.000362507
57,1118.79,0.00691,0.75374,0.06837,0.85043,0.87098,0.91993,0.65665,0.00644,0.75714,0.06853,0.000360007,0.000360007,0.000360007
58,1139.32,0.00685,0.75531,0.0683,0.84465,0.87895,0.92983,0.66514,0.0064,0.73697,0.06853,0.000357507,0.000357507,0.000357507
59,1159.73,0.00693,0.76569,0.06861,0.8164,0.9058,0.92042,0.64635,0.00666,0.76545,0.07007,0.000355007,0.000355007,0.000355007
60,1180.08,0.00692,0.75879,0.06854,0.84816,0.88627,0.92844,0.66772,0.00641,0.72171,0.06858,0.000352507,0.000352507,0.000352507
61,1200.51,0.00692,0.75984,0.06863,0.84759,0.87968,0.92218,0.66395,0.00641,0.74125,0.06866,0.000350007,0.000350007,0.000350007
